Run,Replicate,Library,Path,LibraryLayout,Virus,Host,Source,Percent
10027,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100
10027,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100
10027,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100
10027,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10027_R1.fastq.gz],SINGLE,SARS2,human,local,100
10028,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100
10028,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100
10028,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100
10028,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10028_R1.fastq.gz],SINGLE,SARS2,human,local,100
10029,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100
10029,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100
10029,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100
10029,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10029_R1.fastq.gz],SINGLE,SARS2,human,local,100
10039,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100
10039,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100
10039,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100
10039,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10039_R1.fastq.gz],SINGLE,SARS2,human,local,100
10040,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10040_R1.fastq.gz],SINGLE,SARS2,human,local,100
10040,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10040_R1.fastq.gz],SINGLE,SARS2,human,local,100
10042,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100
10042,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100
10042,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100
10042,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10042_R1.fastq.gz],SINGLE,SARS2,human,local,100
10088,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100
10088,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100
10088,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100
10088,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10088_R1.fastq.gz],SINGLE,SARS2,human,local,100
10089,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100
10089,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100
10089,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100
10089,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10089_R1.fastq.gz],SINGLE,SARS2,human,local,100
10091,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100
10091,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100
10091,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100
10091,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10091_R1.fastq.gz],SINGLE,SARS2,human,local,100
10094,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10094_R1.fastq.gz],SINGLE,SARS2,human,local,100
10094,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10094_R1.fastq.gz],SINGLE,SARS2,human,local,100
10094,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10094_R1.fastq.gz],SINGLE,SARS2,human,local,100
10102,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10102_R1.fastq.gz],SINGLE,SARS2,human,local,100
10102,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10102_R1.fastq.gz],SINGLE,SARS2,human,local,100
10106,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100
10106,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100
10106,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100
10106,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10106_R1.fastq.gz],SINGLE,SARS2,human,local,100
10107,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100
10107,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100
10107,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100
10107,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10107_R1.fastq.gz],SINGLE,SARS2,human,local,100
10110,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100
10110,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100
10110,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100
10110,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10110_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10114,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10114_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10117,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10117_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10118,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10118_R1.fastq.gz],SINGLE,SARS2,human,local,100
10127,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100
10127,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100
10127,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10127_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10128,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10128_R1.fastq.gz],SINGLE,SARS2,human,local,100
10129,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100
10129,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100
10129,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10129_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10130,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10130_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10131,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10131_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10136,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10136_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,1,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,2,1,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,1,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200601_NS500127_0049_AHJGMWBGXF_merged-fastq_more-reads/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100
10138,2,2,[/fh/fast/bloom_j/SR/ngs/illumina_Pavitra/200831_NS500127_0071_AHW2CCBGXF_merged-fastq_more-reads/10138_R1.fastq.gz],SINGLE,SARS2,human,local,100